"Compound Name","Formula","Mass","RT","CAS ID",n_mix3,n_mix4,n_mix5,n_mix6,n_mix7,n_mix8,n_mix9,n_set1_blue_546_R2,n_set1_blue_617_R4,n_set1_blue_618_R1,n_set1_blue_648_R3,n_set1_blue_669_L1,n_set1_blue_713_R2,n_set1_blue_773_R8,n_set1_gray_551_L2,n_set1_gray_573_R2,n_set1_gray_608_R3,n_set1_gray_796_L1,n_set1_gray_796_R5,n_set1_gray_843_L4,n_set1_gray_843_L5,n_set1_green_574_R1,n_set1_green_592_L3,n_set1_green_593_R1,n_set1_green_614_R4,n_set1_green_675_L6,n_set1_green_675_L9,n_set1_green_773_L2,n_set1_pink_670_L3,n_set1_pink_672_L1,n_set1_pink_686_R1,n_set1_pink_751_L1,n_set1_pink_754_L1,n_set1_pink_847_R2,n_set1_pink_847_R3,n_set1_purple_552_R5,n_set1_purple_552_R6,n_set1_purple_605_L3,n_set1_purple_608_L1,n_set1_purple_611_L4,n_set1_purple_621_L1,n_set1_purple_843_L7,n_set1_yellow_599_L3,n_set1_yellow_666_R2,n_set1_yellow_670_R3,n_set1_yellow_672_R5,n_set1_yellow_751_L3,n_set1_yellow_751_R4,n_set1_yellow_847_R6,n_set2_blue_561_L3,n_set2_blue_592_R4,n_set2_blue_617_L3,n_set2_blue_617_L4,n_set2_blue_669_L2,n_set2_blue_669_L4,n_set2_blue_675_R2,n_set2_blue_772_R1,n_set2_gray_551_R3,n_set2_gray_610_L2,n_set2_gray_611_L5,n_set2_gray_621_R1,n_set2_gray_621_R2,n_set2_gray_796_L2,n_set2_gray_796_R1,n_set2_gray_796_R4,n_set2_green_593_R3,n_set2_green_643_L1,n_set2_green_661_R2,n_set2_green_675_L1,n_set2_green_675_L3,n_set2_green_675_L7,n_set2_green_772_L2,n_set2_green_773_R7,n_set2_pink_670_L2,n_set2_pink_670_L5,n_set2_pink_670_L6,n_set2_pink_730_L3,n_set2_pink_730_R1,n_set2_pink_754_L3,n_set2_pink_847_L1,n_set2_purple_552_L1,n_set2_purple_552_R2,n_set2_purple_552_R4,n_set2_purple_573_R4,n_set2_purple_608_L4,n_set2_purple_610_R2,n_set2_purple_632_R1,n_set2_purple_843_L2,n_set2_yellow_599_R2,n_set2_yellow_670_R4,n_set2_yellow_672_R1,n_set2_yellow_672_R6,n_set2_yellow_686_R2,n_set2_yellow_752_L1,n_set2_yellow_753_R3,n_set2_yellow_847_L4,n_solv2,n_solv3,n_solv4
Glutathione (GSH),C10 H17 N3 O6 S,307.0844,6.70,70-18-8,411233.930856842,371823.495262154,367099.72927378,380723.29781105,366263.244972588,276224.512130409,245020.394034889,474763.917425767,336294.843541832,470078.007593246,331557.193708099,63021.7600227356,284735.058890785,324737.299368988,298528.264009308,359134.020298172,351978.005119094,155988.57293438,176226.457987717,400098.005140099,461809.483827804,292628.367105667,220776.481523742,271601.509937706,285506.520166481,211419.916359421,349466.863788597,326767.574577537,343512.677765892,331356.095482468,385981.716845169,222163.866614426,275390.31713739,305272.762600083,272375.694400887,354600.200630676,650498.554934075,329186.408699135,374052.399917633,506471.403796921,450099.899035858,353720.569304589,317030.821678108,254191.218648063,335670.692614075,280467.37829789,283900.98275499,258704.426584511,157215.655258049,442029.898493148,193197.502499168,237796.632467789,219876.274532837,22650.3700196304,175877.462490448,315958.689016724,367879.157650658,316695.772300621,308993.010203774,265833.778002212,372347.595171745,373194.223623062,302120.345142112,317036.977075683,246757.533085647,339835.932370858,297196.453249908,191952.630410073,255335.378042298,425490.3409283,393094.33545459,278096.16929055,354560.672335678,313943.963926147,319554.689445076,227468.966061913,303064.457968727,209607.5475868,318726.419955841,260567.592028785,409677.014206734,338773.596863724,323259.59245697,286584.172891197,305002.713638535,219018.210821289,,364214.630297554,363655.541652772,371764.770021669,365260.157470032,260910.18218856,259525.286544327,295079.45532875,239282.77689936,322999.257862076,,,
N-Acetylneuraminic Acid,C11 H19 N O9,309.1060,5.84,131-48-6,1647.58079929352,930.618416900636,1467.19750518799,2046.13722046662,2190.14490290832,884.745936805729,832.679145034794,2234.35063671111,3831.15133852388,384.965539474484,134.842449798583,573.101112976069,416.986727371212,108.552076873778,876.783088340757,2633.23426013184,142.15890937805,,,423.872740440373,598.024491996765,276.915274429319,1196.22553363799,304.919227256772,367.375404975887,,113.648415374755,576.132047615046,2844.25985728455,100.501300735473,467.09050228119,1903.46824439239,2935.64280118561,,780.179061531067,,1618.33842098235,103.30909065247,205.949172248838,653.367929176335,114.757744400026,124.873949928282,810.566421607975,1444.9056030655,,,2424.25499822236,1505.92013017273,,5100.24337638093,1455.20845594788,3539.87938287355,1347.88087608339,220.57276176453,4245.99951623536,,2222.40868786621,,363.611937026982,,,,693.213437690728,292.140994110105,453.154012329109,,,1052.39981528472,,373.160891418453,122.107980194091,960.534976959228,447.84740329742,389.567988723755,2721.15219450378,1840.98689791107,,106.859752464293,3711.4415271759,,222.542819557188,108.076993827819,,700.094539222727,705.630479278558,152.778761062621,,599.792432823181,1788.48174785614,1174.5134117508,216.045569458017,,156.868380477908,145.733874572755,,717.610311714168,,,
Arachidic Acid,C20 H40 O2,312.3030,0.69,506-30-9,18160.6449765015,17982.8550456619,18526.1820182648,21173.7011222382,22987.3979063873,18084.3758517838,18718.0119461136,15528.0666365585,20063.4441950378,24397.4711583252,25043.8745161057,20045.4091223526,20599.6034412689,23049.9609391861,47486.261418663,28075.1574544983,21424.5987332306,17438.8903484878,17791.2388013458,19688.5124993591,20600.4667205582,19422.3662275085,23182.95801548,20294.0663242264,27071.5635918961,19147.0620286331,11465.6508209991,23894.1059704514,18238.5479542542,19042.2672423248,29529.5074326172,19055.7388033371,20492.6100697937,19578.6029171371,23829.0097830658,18928.3146794891,15434.1235024643,16050.01235392,18869.6193106613,21730.8414860077,15056.6487648468,19426.3779897766,21742.1909841461,30512.4657944489,25461.6235329132,13832.9947863693,16066.3577254486,19205.4586099701,16258.5860074234,21689.7711877213,23735.0809741516,24265.8152836227,20501.4109823303,25829.8495490265,22256.6427033539,19819.4126326828,29391.2278214264,21006.7459790115,29025.5264317856,22557.2305250855,23145.100278328,27566.1139688492,21438.4908114014,30079.3588368378,25138.095166954,23389.1239600983,22083.5264743347,19660.8463032913,20441.3467959442,30813.3538156281,24823.2019970551,36512.5193425064,25007.0489207153,26530.555959137,23617.5950957871,28770.9666041031,23128.5289496078,29541.716029007,27983.5983880005,19872.8322337036,28194.4389194412,30571.3172462616,25621.0981183395,21967.3997034531,20455.963845871,24218.8479862289,42562.3239079056,19378.293569046,22113.2837769013,27035.0467240143,26562.3233414459,21215.9236050415,27756.1236005478,21283.4546934662,20537.5684466553,18939.2669100571,1552.12687261963,1503.6881476593,6889.79998855591
CMP,C9 H14 N3 O8 P,323.0521,7.92,63-37-6,6144.23919724275,5800.83161344907,5460.93378026583,10189.9473115845,8946.84124014277,5363.72582027436,4491.77252119446,9039.26840642545,8910.10943157959,14526.2763940735,2059.39909408569,995.437039962776,1558.53693031312,3480.18971946716,13192.9147587127,8613.92369395446,5825.11887189484,3072.22432456209,9422.79513536834,10830.8554733582,11709.0893351822,10474.1275316925,20562.7011673889,9528.67109557345,10730.0288111114,6458.28436007689,11672.5385861435,10764.0245328979,6817.52729368589,7365.38700961303,17530.5656260681,522.417565963744,3059.06795093537,11919.1177415848,11700.9127067871,4664.25061531829,18106.9750040055,5189.18484628294,4785.43485088347,8627.34470818333,3655.40537675477,9489.57610232546,3077.15525622559,9022.84407696533,14254.1222466583,7934.83665090181,737.42060478211,4226.54950141146,6308.76750318907,10345.7275508728,14642.3712285919,12493.1639069367,5082.29200599668,3153.99505545045,11102.8229683685,9734.0328060379,7628.28874571992,7063.78488992308,6877.72575002289,2422.79191773225,1776.14546115112,3247.91458080292,10570.9392376633,14977.835315979,13236.3976229706,6280.10856915284,4966.75125868986,9069.11355639649,12875.1414499893,14759.9810024719,16328.533733139,7718.28702978518,3599.41932761382,7402.43587586975,3508.98222773741,1618.22797197722,10017.3370676117,8838.80826342008,7656.48454586793,12180.9795147323,8621.09603516387,9042.6458803482,5666.53570606994,2234.5101324539,10227.2234713058,9287.64962533569,,9283.33296617125,7179.5075874481,7596.3267694626,7907.28988167572,5134.71654327392,9558.68538165283,3595.62235296632,8586.90675935362,15375.6794538956,,,
UMP,C9 H13 N2 O9 P,324.0362,7.47,58-97-9,63024.2411560669,53803.1292064514,54336.6957901154,65735.1141570435,58818.1815863342,51767.1892501297,49320.2433457337,67033.8949227905,43686.8425819778,76837.6979928436,32878.4049838638,24068.7898355561,27954.2793272324,34767.5352112045,88984.1330871201,40480.8560812988,54017.0813327332,55753.7088085098,98706.1928654023,88140.3049951325,95616.3443369523,45039.3230325623,106390.842917175,77708.4964665528,126951.190498657,62287.5070110474,70715.4757423859,75159.4724761658,41268.1964680176,55496.3640882873,148539.617586487,21185.1226790543,51738.2706095047,101609.017843346,67259.6230747451,34225.2043347778,112428.837366837,46698.8095766449,41619.8254888229,55692.8007475357,45639.1525065079,90393.1116523742,24128.6234471436,60243.816851799,74087.2691223145,69712.3447280807,17787.0083895416,29784.9410282745,66135.5283051681,71385.4883622742,90959.1092667159,72846.2795497131,43126.062611969,33707.3036578674,75845.7330332336,88127.7253532334,32714.6262419204,64749.5243748779,75874.121436058,39789.6799993362,29705.9987917404,47365.8488655853,73021.4217399063,116854.346663834,104229.772305344,49551.6936466751,49868.0445433197,86243.6632539979,86986.0495489884,111325.530430695,116459.974250549,35046.1625498886,40787.3024952774,42501.0238282013,33304.5246320725,36108.4002117004,96672.6389101944,90152.4222116241,46302.2485518036,77993.9175934067,59779.7174629898,63279.2814043122,52856.8472921371,37089.5631892624,55511.788568512,100880.944782089,,65442.2928680267,37959.1799733276,43171.0250719452,54328.0491470718,55721.5126587906,104934.26840229,36570.4284708481,79252.8414021912,113536.975440506,,,
Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.2407,0.69,6217-54-5,85062.3482572632,82597.7922674637,84798.0781287918,88872.8881809387,92399.077559784,77990.0886176376,77206.8709424438,80754.2146130066,110521.465562927,83799.101930008,59568.2541108017,161705.808263908,37426.645470871,45398.2616748123,59751.9896756897,90938.2298244476,65754.8752144241,32837.2745810852,33641.8301247635,91403.3445244827,71104.5359972916,95178.2997345886,78245.4259846955,75565.7468435059,67414.0929131851,43091.6258151474,47732.3356908264,70730.2716079559,94973.5108288803,57110.8158716049,34677.2671716614,83934.4771082306,103226.712237335,33536.9047258454,43627.110887413,85632.8633455505,73010.7499454422,81978.4450980224,73169.7636756515,95970.3386177978,53878.4568755417,80483.7794161148,57348.0614825211,41768.8421226196,70776.0337430115,46448.4669573441,84593.2940209503,91464.2108215484,28622.1747673416,117002.909687439,85752.1972019119,144665.187901565,100092.003082214,193724.132712845,115661.149953308,36390.5424044723,113075.693113327,81234.8201594391,70422.5990368271,75104.9039454117,54402.6369149399,86088.8245936508,72272.0352520752,61912.1648471756,71346.0726966629,108372.239248978,63868.4848916016,66738.9310762481,58142.7122872467,48438.1793247223,81031.9384211502,102995.804295273,47008.4520227508,84024.1017093353,76879.1874358215,77863.2454262391,51005.6983400497,38046.4671864166,116075.503411339,38128.1170325623,94187.6276668625,67716.1982862243,70778.4171027756,96298.4791986313,93895.8553872452,51321.0980326157,47824.1958337097,96347.538175705,68431.4539374695,61156.8703796692,48005.281647049,43885.1325898056,18734.7762701416,61231.5625552597,32252.7868370895,55086.7984482956,,,
3-Phosphoglyceroinositol,C9 H19 O11 P,334.0668,7.38,00-00-006,11160.3085335007,10160.4278803558,10586.7708637772,11601.628341362,11794.2392866668,7572.00046868896,7320.61536137389,23620.942154686,19539.2772779846,9029.39837690734,4762.13058811951,11342.4912860565,9725.26933511354,3525.53710568237,6533.1110853348,25380.6606685639,4127.78564112855,2529.74838787841,2724.70907906341,4965.65378105163,6782.12466085053,8493.45382891082,6508.73826312257,3699.98448225403,3044.73001299287,3777.52027770233,6747.2210797577,6886.77198392488,10356.2805187073,5636.64899166108,5017.70959820557,9884.80399598693,11740.6858099975,3481.37764575194,6359.21358850097,8223.19461094666,9720.05366286465,3404.03818611146,4422.9183728485,7640.38448158265,4959.03115933989,3218.93153722381,7246.52991857912,10600.4501080933,7200.88734739685,2968.50636479187,11017.6961434021,11735.1535692902,4552.14468688202,18190.5431404038,5835.39228305816,20837.9820652771,14779.7170962906,6785.4801010971,9746.78824055483,2429.23111174012,24671.4380312271,4086.64574880219,5047.3750756836,4110.87469384767,3775.22147087098,5687.97748143768,6942.91092619323,6563.63139489746,5641.27195355226,5070.14346862794,4448.15752560425,9800.94504682162,11285.7623532791,9099.30271894835,7951.69396324157,23458.3301109466,3904.46826366427,7676.89896418761,12025.2198882141,9114.39642999266,3529.87572814942,5513.14557816316,17652.3048656616,6831.48585139466,8801.79678195191,7361.51911083983,4096.41292787171,17522.3290962982,5322.0983383789,2618.24412595367,,8145.23713539127,10861.0548643036,10368.6767133789,5604.4949753723,4704.71782578278,3441.86018330383,8466.86636682894,5426.84877230835,6203.81580479432,,,
Erucic Acid,C22 H42 O2,338.3188,0.69,112-86-7,5709.26039860535,5606.66785250855,5342.30369807434,6780.55500008392,7383.59692230225,5626.73462570191,5266.55210546875,4708.67174945068,5352.81457594299,5000.92493026734,4166.31680927277,6145.62249403381,34739.5075147171,2860.34252097321,7224.75184102631,6658.89512385559,2992.7203469162,5235.37431797028,5009.62355239868,3884.85569084167,4701.31537752533,9517.20729567718,4912.15373728943,4215.96557998657,2885.97653297424,2923.00450379944,2880.64857032776,6949.8076231308,13914.586725647,3845.94409560394,5714.05072155762,5817.23506443787,7304.58667871857,3985.33239593506,3802.20734947204,3670.0314012909,3562.30733327484,4199.77586871338,3748.36474677276,4921.643932724,3663.79159536743,3206.76133932495,18417.648087204,7057.31171822357,8033.00606565857,3938.5940921402,4332.79862568665,7245.10977819061,8387.08974298859,6103.94048053742,5414.78324378967,6807.12435568237,5498.05746833801,6985.82352622223,5797.31062898254,5875.48180236816,8916.21607645416,5635.83746180725,7975.50104251862,3857.05070259094,3552.18394805908,5341.24883969879,5399.46197531891,7002.31679322815,8928.16201927948,9490.3654836731,3785.24558866119,4531.46431915283,5580.33391395569,7552.68984837341,5093.01746681213,13061.9597756348,3145.26104385376,10712.023213913,8828.72476677703,6562.52629554749,9210.27567583466,5656.52780310822,9481.16184314728,4017.14092556763,4580.78563611603,7092.28551953888,3463.58435650635,5092.68887445068,5001.62299502563,3428.44102276611,7546.33263591003,4327.42853398133,9014.05369735717,7508.69477394104,5515.28896357727,4408.05876522827,4830.26580864716,5097.96006736755,3775.74939768982,5657.06669168091,,,
Sucrose,C12 H22 O11,342.1166,6.41,57-50-1,1746.5837620163,1670.59367073058,934.671493629442,3811.40234410097,3730.25195468141,2075.55978516388,2511.30162796021,4685.21581227112,1810.6173626709,1842.06046188354,14920.6016190567,782.479757888799,1885.00237564851,4219.38198835756,21284.1785405731,3669.64931916809,1473.48794063569,2114.59944966125,4062.11423400879,6230.08723097993,4138.1770947342,5204.23058280183,2807.80090223694,1286.53384768677,3119.74061941529,5316.37408085631,4207.10851338958,5021.39309405517,2285.84226333618,2406.5869015274,2656.96612718201,8689.54019976805,2959.17716682433,1832.68648558807,3192.55046211243,1542.19336170198,3496.97381362916,2337.48050258636,375.053814544674,3951.01257765199,1952.30676097869,124.973258628844,3958.24558912659,14558.2099569244,3632.06154479982,3611.8710308075,3969.43150774384,2728.68996775817,5786.13944826509,2746.69142939757,2722.89087703706,3662.34311477661,2994.78925150299,3061.44172875212,7392.03261836243,6381.17152101134,7232.208574852,1936.59383952332,2448.48738583374,982.081105438239,8048.45697242737,36382.4479232025,3551.41367025757,4782.7277704773,2555.45456317902,1438.47413795471,1701.61793225097,3189.64596396636,82785.8012941971,7114.89839282226,4205.02812928771,23879.2984362945,1717.69272016907,2951.28112599181,2497.77101677703,6512.55078967284,1656.60714810944,7463.85039123535,4580.39522470093,2580.20326390077,3506.28081936646,1903.98795462799,1145.26481315612,8771.16986811828,2963.65344869232,555.675229606633,2338.20609222412,1617.6880960312,6052.49746260833,32762.0048667984,4098.01344541931,2559.10501663207,2785.55297947693,4074.45847886657,4088.43198617554,4041.31844740296,336.034741363528,642.596203742985,1245.85152316285
AMP,C10 H14 N5 O7 P,347.0635,7.42,61-19-8,160553.249350563,141885.523765541,144570.092597054,157508.973726204,170611.49839962,135774.652217728,131578.929269203,219316.860023209,181164.847710899,210170.384145249,79322.3375060425,86420.3908583451,97996.5462969819,72220.3359802551,132665.308788208,162384.581963196,145849.596251328,68805.1037529449,147961.044872581,128327.715727249,151682.738731361,92885.1529561386,241472.516753723,127201.309043854,159670.582447311,124660.098531464,96831.5548770905,127313.652545502,122526.192517998,107353.349824402,195000.36919928,75276.033392601,115553.848443741,184027.530566681,132490.819691879,110763.583457611,258721.477140427,124706.254587112,122363.500088005,148454.738280472,107342.842126106,167851.214500076,77538.468878006,128614.97586467,152759.432200958,120251.419137649,80926.2733713837,90786.4742274247,108460.244063988,176015.859405868,214371.040431488,226155.477321655,180351.759635925,70945.2857885971,176286.774682388,155893.247963257,80373.3516117019,136769.766608933,179803.05578363,98399.928135315,68534.6898967972,94368.7242502518,132942.114935112,204030.492012756,189549.058320526,116850.836412308,111038.49096846,178461.015605728,114808.474260483,203463.867455155,206917.88349189,116075.865701538,82716.4991677245,97454.5279870911,102014.887667038,97863.1429827271,188413.698108383,129937.322460373,156151.733480835,101988.685493507,120277.681012787,124244.218257065,89792.6777705841,114719.636112816,137601.003576202,200567.066175857,1201.76800216676,148439.455346588,101033.949142822,124199.853781876,80944.4835331345,120075.18353833,156974.487204994,98183.0480056228,105032.530146568,187353.906611557,,,225.757690124516
dGMP,C10 H14 N5 O7 P,347.0635,8.13,902-04-5,5728.83759539032,6699.51012625122,5251.74742031859,10750.401571846,11742.0476936188,4127.80064507295,3146.41344051361,6743.97730432895,12907.7615872955,14462.5436594086,427.874261627185,1356.99756675722,1429.01646271514,2080.77868137358,7999.13239097593,13981.1246443939,3589.92653017426,1798.9971622696,4556.62097392271,8858.67876733402,11042.5482500351,6006.71229325102,15608.9899230499,3489.64031089018,3409.91593832396,3497.66565573119,7305.69146797181,9966.60883238983,8309.69707510377,6760.96534313206,9897.08849316406,1431.12456728362,2185.16326139067,4925.40086474608,10596.7912343979,6264.99899002076,15014.7173312531,3416.2406499481,3752.02627574158,8821.08808483887,2588.30302163698,6532.21537327576,2263.66579000855,10182.1133358765,14336.3144340057,3450.80413657382,1129.12957269285,5955.02084058377,3164.95692662049,9022.45414006044,13203.4219250412,13710.7988789985,8011.11756826019,304.79048830415,3358.9814807663,4258.08342828368,7050.35071793367,4981.66275687409,7098.90065493775,1145.3622690277,,849.230047424316,10819.929930397,12921.815166687,11526.2012005844,4380.68970697022,2792.80741168977,5725.92167321015,4399.78017038728,11711.855033493,12795.6283471527,5312.13881553649,1382.98625079348,8253.63867503357,4047.24109986115,1178.71836760711,5799.73604168701,1958.62140361784,9716.40926200867,5021.60158422851,7114.173743103,7878.52070272064,2142.86787377931,2035.37804634856,9671.57309983826,5351.29329864499,,11593.4152212372,8329.15146643066,8584.27056862641,6323.87773503875,3436.57928668214,3831.32896279908,3068.45294640349,3557.60015228274,11881.1593649826,,,
Tricosanoic Acid,C23 H46 O2,354.3499,0.69,2433-96-7,4680.31791168213,4753.23157775116,4902.00015506744,7130.80592241669,6404.48478356934,5032.63036981201,4994.5909686203,3693.00235824585,5908.16694863891,5995.09338500977,5677.57694316101,5911.78408146667,4939.19452410126,4655.62547798157,7523.08618973541,7851.57895681763,4942.7389244461,3220.05003170013,4487.12960001373,5703.1030165329,4965.84168474579,6395.6235224762,6849.61754670715,4936.58197144318,4948.51310869598,4909.72776742554,3956.85672569275,6130.10336852264,5645.15452661133,5908.28234411621,6896.48896954346,4805.5982838974,5607.74409655762,3914.27273551941,5340.11603645324,4376.88170108032,4816.55264546204,4625.97498741913,5092.79845774079,6734.49447747803,4741.96743908691,4482.86532239533,4588.03375965881,7886.36356413269,8448.76872142029,5346.67765570831,5278.62103785706,6172.80629044342,4750.69786994934,6284.46262721253,6969.41213930511,7270.43232396698,6714.38247183228,7227.11025771332,5743.59113301086,6440.77827181244,8603.07368555451,6257.67371101379,8243.93590255737,6448.08417877198,6300.24875086212,7534.93209965515,7524.70689351654,9125.72176020813,7166.07958901215,6063.03130323791,6709.66240265656,6722.11231970978,6424.0399506836,8086.48093487549,6891.68230479431,6531.19737545777,6071.00058895874,10076.2901700592,6773.39668200683,6653.10847971344,7332.62383562469,8089.80226594543,8030.98191739655,6163.28097689819,8370.89535775757,7855.57090118408,6302.3661368103,7285.4416450119,7527.16847849274,6412.0885506897,8622.51610176849,6361.13189336395,7224.81835364533,7945.91711012268,7720.59712266541,5882.36295272064,6249.41171454621,5776.55687924194,5419.65387521362,7825.68237812042,364.429506797791,149.108311645507,2964.74077342987
GMP,C10 H14 N5 O8 P,363.0583,8.06,85-32-5,6003.85385572816,6355.28758265686,5839.92321527866,10052.3920174484,10113.575326416,4290.67756916807,3526.32518845368,15618.0053298569,10632.7511462097,10736.9611206665,448.679237022402,1785.48423303985,1960.01035102845,745.554963333119,9217.85530944061,9490.55729962161,5588.87610285949,605.398887977594,5629.38678929136,5779.99636869816,7439.93074768831,5450.46872029114,15400.9965201645,6217.51611282349,6503.04600962066,3158.26761576079,5029.0660119171,9718.72533197021,8140.4849699097,2890.82294483187,10487.7134405136,,7612.82767328646,6380.92864603426,6890.46603644562,3386.40540789794,15599.3085527877,3100.32334748841,3661.2836094818,6929.41161669159,1899.82386914828,5252.88202856444,3123.24185960389,7198.84348244478,11401.7657201385,3061.70869149781,436.750517616291,3459.45177798463,2301.99371315764,23819.0580286637,14870.6282245102,19749.8900782776,6479.20814080048,7235.88339110564,10202.0041469269,5021.39741776275,7619.93156176757,4035.74782796477,4738.07449032594,1087.96616317749,139.972994461066,939.520536468523,6115.42617684937,9221.96574923707,10655.2577296143,4730.13792233277,1784.02209487914,7576.73639896394,6396.95545824433,9298.03450131224,11851.1955119171,13511.7645184021,731.825426780695,5674.86162171934,3565.66083413697,3712.42517037963,11150.3222527695,5986.25792777251,11443.9951517411,5923.10694803617,4988.05244529725,5762.51337553406,942.859502586351,2174.02393367767,7879.98192709349,8229.15095257567,,7050.95517207336,6652.38732598112,7539.78455534363,2742.7371473999,1560.16351241303,7659.08283309173,2398.02935649871,4280.19462930298,9596.38382596589,,,
Nervonic Acid,C24 H46 O2,366.3499,0.68,506-37-6,5539.50148204804,5518.36563744354,5798.01982312012,6194.57880632782,6762.25981686401,4837.28758796692,4492.20485926819,4098.31530438995,6400.19182046509,6262.78124145508,4458.20442463684,6082.52419918823,4733.77384456634,4818.24638864899,7334.73154458618,6815.38945281982,4603.59492266846,2609.02652858734,3824.14582820892,5507.38593267059,3893.81256114197,5814.41388284302,5834.20644963074,4507.63664550781,4236.32562748718,3775.71845049286,2931.38909597778,5902.22776277161,7972.80245770264,5810.20326511383,5739.75792037964,5305.16323042297,5801.87038116455,4051.68790077209,5837.81884130096,4338.04879753113,4270.68603556824,4063.78986763,4107.14846661377,5403.3897250061,3672.20242895508,3652.96974141693,4740.81478460693,7595.59916869354,8197.68999259949,4374.2107156601,5517.06772016907,6608.84898294067,3095.83421844482,6983.41231572723,6507.90671023559,7500.44304323578,6605.60819625855,8913.45648293304,6100.63022146606,5616.95535764313,9209.27207557678,5380.92741188812,7318.07006098938,5796.16568856049,5858.11545356751,7183.06438458252,7118.20082695007,8703.18995620728,7430.46729812622,6327.60824171448,5584.81798851013,5475.17761729431,5156.95007318878,8450.176110672,7071.46422396851,7893.39982582856,6018.8473985672,9553.75309292603,8514.59718330383,7314.10579244995,6255.09052496338,6415.54216818237,9902.28670267486,5850.88966699219,7548.81136472321,7727.22874343109,5206.32665565491,6133.60599215698,7891.65221498108,5523.31447959137,7254.89888555145,5771.0435464325,7698.84067075348,8537.49784506226,7237.46032936859,5585.59608379364,6084.59311828613,6729.64780046844,4857.51144915771,7126.87381627655,,,102.366090698242
S-Lactoylglutathione,C13 H21 N3 O8 S,379.1053,6.56,54398-03-7,4665.25371823121,4089.6480704956,3939.29183810424,5630.96567250824,4793.55753521728,2514.59617129517,2849.06352996827,4364.22700977324,6854.98341130066,5757.80193525695,8961.43760694884,229.757207221988,3092.01509955597,2643.49374063111,11397.4121636658,6459.58400215149,5013.13185371398,4258.09910513305,4317.64898577881,10139.7886220017,6772.09635310364,5821.75737706758,5759.11298169709,6409.25248216247,10161.9448227234,2066.26390799713,4865.23518485259,6031.51109085847,3432.08466336823,4757.90037459563,5283.41598579407,6186.70521159362,4062.73426454925,6411.80398007202,5932.45526747894,3009.11175962067,7326.20466252136,2223.23543096923,3915.1004812622,4675.96047021485,3206.71975313568,5059.00680566404,3051.03489407349,6858.66737403107,6501.47084906007,2065.64484614563,,5697.74612245941,3553.49281927489,4698.74480419159,3691.71842034911,4113.99781858063,1748.13632047271,2399.70898315431,12461.402434845,2785.44470439147,8239.51405616761,3354.24313964844,6611.7409836197,4155.08585023498,6973.39128962708,11059.4207883529,5270.80227125551,2952.66163459777,2598.66800860595,3201.8141937027,4019.65874298096,2627.02408603669,7276.13073874665,5099.76160827637,5021.40281663512,8647.99842072296,4879.75009432222,6220.87096592712,3188.29212340546,4145.57914549255,2173.26890359497,5123.82921925354,5873.96829369356,2534.07814863586,5837.45881451417,3945.37172195435,3972.81697973633,3553.21355085756,3579.16380231476,2407.59040171051,,5497.52709033967,7182.91212188721,12076.0292312012,8198.49556528471,2600.10375827026,6944.97871461484,3831.92141300202,6052.06840548708,5832.10715688324,,,
S-Adenosylhomocysteine (SAH),C14 H20 N6 O5 S,384.1218,7.04,979-92-0,1333.34575244903,1540.39474803924,1135.10395866394,3796.40265369415,3705.94472547912,1056.647253685,868.663110893243,2606.62468671417,3365.26546382142,2630.92387719724,106.029687499999,3083.82680567932,375.503831291195,366.800207862856,2001.18999209594,1115.15986869813,246.788247032163,113.927499999999,377.62781681061,2412.94081936645,2011.946569664,1807.61023687743,5700.3342522812,126.793252639769,2420.97967874145,1105.71091963196,1801.43918758392,2633.22104175567,3207.24791030883,2412.98659897613,3175.77627246857,447.557493553157,770.09287425995,1689.47229495239,2459.20229820252,973.246756324766,2477.59148059081,,227.99329734802,700.396928977966,103.762698059081,937.442846488946,1765.00586699677,3278.8011359787,5197.66418946838,2561.20612116241,339.332500762948,1715.68597438049,1290.39534825897,5518.22623770904,6072.68600357818,4607.95536186981,2687.77076555633,767.035723541255,3262.93933351135,2015.45714208222,2031.87144815063,1555.14788039398,1797.43554308319,1269.8282355118,1043.51297584534,485.614763259883,4033.02853669738,3265.41438226319,4524.60873719024,872.766293716424,1459.05828231812,2024.91366394043,2380.49792833711,3804.77026351166,4317.93844374085,1356.23226644897,360.508164367672,3833.52149494934,2237.83312645721,841.869042160036,4831.36498532867,4075.05724140167,3681.1317664871,3198.81685922241,3957.86299978637,5400.78001362611,2026.09296675873,2356.21859519196,5599.03489486695,3880.58684015656,,4515.53293506622,5149.99275756836,5649.67841955565,4228.24974430084,3256.2045541687,5083.02890561677,2854.43478189849,1341.25358539582,5437.57402137757,,,
