Well,Group,Measurement,Time,OCR,ECAR,PER
G08,4. FA Capacity-vpa,2,7.96239773,69.65586238,23.11965218,0
G09,5. GLC Dependency-vpa,2,7.96239773,203.614069,31.17157243,0
G10,5. GLC Dependency-vpa,2,7.96239773,218.5963035,30.20082795,0
G11,6. GLC Capacity-vpa,2,7.96239773,196.6763495,23.94278324,0
G12,6. GLC Capacity-vpa,2,7.96239773,114.1693384,25.58852283,0
H01,Background,2,7.96239773,0,0,0
H02,1. GLN Dependency -vpa,2,7.96239773,138.6659322,22.45102807,0
H03,2. GLN Capacity-vpa,2,7.96239773,106.9367765,32.5564822,0
H04,2. GLN Capacity-vpa,2,7.96239773,13.06672445,23.67885494,0
H05,3. FA Dependency-vpa,2,7.96239773,177.2415948,29.71203144,0
H06,3. FA Dependency-vpa,2,7.96239773,189.2243731,33.10585451,0
H07,4. FA Capacity-vpa,2,7.96239773,163.2750163,37.09899884,0
H08,4. FA Capacity-vpa,2,7.96239773,140.2269086,27.40752512,0
H09,5. GLC Dependency-vpa,2,7.96239773,168.0807847,37.25332244,0
H10,5. GLC Dependency-vpa,2,7.96239773,284.6157024,48.04459273,0
H11,6. GLC Capacity-vpa,2,7.96239773,175.2738633,41.2969215,0
H12,Background,2,7.96239773,0,0,0
A01,Background,3,14.51460816,0,0,0
A02,1. GLN Dependency -ctl,3,14.51460816,145.7023762,30.09427606,0
A03,2. GLN Capacity-ctl,3,14.51460816,111.5673519,23.05103092,0
A04,2. GLN Capacity-ctl,3,14.51460816,97.08559125,23.61707144,0
A05,3. FA Dependency-ctl,3,14.51460816,124.869235,26.2389537,0
A06,3. FA Dependency-ctl,3,14.51460816,100.7830781,21.18288164,0
A07,4. FA Capacity-ctl,3,14.51460816,115.5091519,26.54084275,0
A08,4. FA Capacity-ctl,3,14.51460816,122.6754107,27.15423642,0
A09,5. GLC Dependency-ctl,3,14.51460816,112.4425493,26.88063243,0
A10,5. GLC Dependency-ctl,3,14.51460816,119.2667719,30.14848646,0
A11,6. GLC Capacity-ctl,3,14.51460816,150.8527992,32.68256864,0
A12,Background,3,14.51460816,0,0,0
B01,1. GLN Dependency -ctl,3,14.51460816,159.3659919,37.61118125,0
B02,1. GLN Dependency -ctl,3,14.51460816,109.1751024,23.12095292,0
B03,2. GLN Capacity-ctl,3,14.51460816,136.3427078,30.98621452,0
B04,2. GLN Capacity-ctl,3,14.51460816,98.96159636,21.71033555,0
B05,3. FA Dependency-ctl,3,14.51460816,106.7606877,20.07808841,0
