compound_short,compound_full,formula,mass,rt,cas_id,pmix1,pmix2,pmix3,pP1_C1,pP1_FA1,pP1_FA2,pP1_V1,pP1_VPA_FA1,pP1_VPA_FA2,pP2_C2,pP2_FA3,pP2_FA4,pP2_VPA_FA3,pP2_VPA2,pP2_VPA3,pP3_C3,pP3_C4,pP3_FA5,pP3_VPA_FA4,pP3_VPA4,pP3_VPA5,pP4_C5,pP4_C6,pP4_FA6,pP4_VPA_FA5,pP4_VPA_FA6,psolv1,psolv4
hVPA_FApC81,Sphinganine,C18 H39 N O2,301.2979,0.91,764-22-7,7187.413033,7847.077428,8697.219214,10710.46514,9667.16636,12423.68799,10908.29277,11299.41444,8575.226305,11557.12774,8240.02201,13473.46977,9947.253825,10255.46371,15584.10227,6679.016975,8681.575867,7696.655434,8529.048174,13148.14158,18399.56346,7159.954955,9005.396382,13288.06097,8692.004146,8929.404907,1621.545871,4021.004525
hVPA_FApC82,N-Acetylaspartyl Glutamic Acid,C11 H16 N2 O8,304.0907,7.56,3106-85-2,4628.539847,3884.65978,5118.290786,3879.163552,5832.9254,4108.152862,8284.325989,10564.76572,7895.580913,8582.556742,8676.308686,7750.02204,6455.711964,3948.549851,3669.26676,10356.03307,7394.42676,7535.326163,4449.889189,1548.018325,4391.552007,5043.825914,4764.867442,3734.930208,7737.402594,8248.268584,113.3406738,
hVPA_FApC83,Glutathione (GSH),C10 H17 N3 O6 S,307.0843,6.93,70-18-8,1316888.528,1479567.077,1573345.343,1237415.24,1593698.362,1558659.737,1894525.034,2119679.889,1881557.761,1785358.341,1785618.154,1874165.279,1814351.755,1417452.52,1552023.284,1744568.175,1883932.37,1863623.714,1394045.42,1155185.585,1574353.876,1407408.074,1502808.651,1312600.716,1796616.365,1909901.874,1461.755541,6082.318124
hVPA_FApC84,N-Acetylneuraminic Acid,C11 H19 N O9,309.107,6.14,131-48-6,4144.530498,2916.552533,3869.840594,3965.017576,5467.165054,5640.330718,4131.711175,5611.322039,8399.267832,4513.516978,4718.918897,5621.491629,4238.030034,4927.276362,6235.76615,6398.037258,4092.759436,3556.816558,5004.896659,1527.104475,7623.147549,3050.129073,5831.833892,3983.836382,4887.570704,4414.643531,,
hVPA_FApC85,CMP,C9 H14 N3 O8 P,323.0562,8.02,63-37-6,17101.97099,21968.55806,18334.69519,20252.88385,26775.16603,21004.4635,18628.31716,25414.67411,24148.19206,20035.01071,21355.30224,24760.02543,21092.03538,26224.80463,23133.98644,23647.48657,19908.70398,19240.96647,20160.23182,20678.90449,24997.67578,18579.93435,24695.7793,20883.10081,19963.49318,21238.18701,,
hVPA_FApC86,UMP,C9 H13 N2 O9 P,324.0387,7.67,58-97-9,5657.029538,5227.867747,7855.728772,9378.91127,15182.08626,10675.23367,8136.335323,11503.2895,10604.1351,9077.440813,8155.534909,8373.854478,9496.338411,13438.51175,8700.378214,11895.65554,6533.541635,7624.136749,11025.26036,4121.026476,12751.12655,9759.590279,10713.37172,12158.96399,9328.634676,7674.472449,,
hVPA_FApC87,"3',5'-cAMP",C10 H12 N5 O6 P,329.0522,2.92,60-92-4,545.1488668,768.7732118,585.8506068,885.043205,1706.842497,1200.413351,1022.318351,1011.592814,1439.20175,689.4111767,1303.934722,1056.110696,1918.618635,1380.874978,1073.140333,1631.736662,741.9844835,1433.832554,1214.883992,1144.753937,1165.196416,1732.214056,921.0350666,1528.417266,1057.212142,809.361436,,
hVPA_FApC88,Nicotinamide Mononucleotide,C11 H15 N2 O8 P,334.0568,8.64,1094-61-7,79862.27434,79708.24116,76154.88732,84721.65613,142583.5416,81536.51973,53024.86868,92765.12531,64712.25468,53475.65768,64670.15652,49395.14068,73630.86517,101542.1095,58606.3089,80857.63153,54234.63436,73055.30345,89755.76699,121004.3227,87592.40962,107124.0468,95375.68155,101879.798,80491.11615,54446.38548,,
hVPA_FApC89,3-Phosphoglyceroinositol,C9 H19 O11 P,334.0665,7.65,00-00-006,10069.07725,10217.99325,11892.37212,14757.3369,15023.55745,14594.21627,12111.909,16436.25192,14804.65825,13983.85471,13643.23568,14047.43818,18603.14853,14708.18667,14269.03015,14210.12086,11694.52977,13994.93412,13875.59586,8546.374881,13530.49783,15697.66199,12832.99654,13488.84994,13400.45315,14078.23341,,
hVPA_FApC90,"D-Fructose 1,6-bisphosphate",C6 H14 O12 P2,339.9961,9.39,488-69-7,11581.62529,14013.13117,13572.72196,15274.25099,26862.66021,19310.022,11689.029,21444.79761,19061.56217,14260.71969,18425.23879,15988.37639,20770.26379,24786.91406,12937.81615,19566.97866,12721.98882,16119.70478,14651.11612,12556.23696,16619.6605,18400.51464,17254.80946,18471.34923,20939.84692,17457.44824,,321.2332206
